ID_Embedding,Participante,Componente_PCA1,Componente_PCA2
Embedding_1,Abelardo_L,-0.1838768393003658,-0.22306082141976602
Embedding_2,Abelardo_L,-0.1977811698236458,-0.23224604833432072
Embedding_3,Abelardo_L,-0.17602426593313014,-0.21784095984539303
Embedding_4,Abelardo_L,-0.22421111419611528,-0.17314931344976148
Embedding_5,Abelardo_L,-0.20331054431631673,-0.2115241824066827
Embedding_6,Abelardo_L,-0.20331054431631673,-0.2115241824066827
Embedding_7,Abelardo_L,-0.23592265865159728,-0.17649191458992813
Embedding_8,Abelardo_L,-0.24684117972962816,-0.1750735593763474
Embedding_9,Abelardo_L,-0.2692972532542265,-0.18131331323536698
Embedding_10,Abelardo_L,-0.2692972532542265,-0.18131331323536698
Embedding_11,Abelardo_L,-0.21790294259711607,-0.1536705123429909
Embedding_12,Abelardo_L,-0.1669993992871297,-0.13789009708144961
Embedding_13,Abelardo_L,-0.2272171214854246,-0.08338585400157372
Embedding_14,Abelardo_L,-0.17602426593313014,-0.21784095984539303
Embedding_15,Abelardo_L,-0.11223163973664925,-0.060515023223920106
Embedding_16,Abelardo_L,0.25862681584140035,0.6262538530095245
Embedding_17,Abelardo_L,-0.11223163973664925,-0.060515023223920106
Embedding_18,Abelardo_L,0.25862681584140035,0.6262538530095245
Embedding_19,Abelardo_L,-0.21363937092576252,-0.01783065303388992
Embedding_20,Abelardo_L,-0.2192873232596062,-0.02569301470482388
Embedding_21,Abelardo_L,-0.15594776617406048,-0.03149372911769166
Embedding_22,Abelardo_L,-0.2333954101341097,0.004518017406490715
Embedding_23,Abelardo_L,-0.24793570186164599,-0.0038244072706662413
Embedding_24,Abelardo_L,-0.1925609311813069,-0.03886463388327688
Embedding_25,Abelardo_L,-0.20384074380161615,-0.01384875023654486
Embedding_26,Abelardo_L,-0.17320994172298843,-0.2263043964719368
Embedding_27,Abelardo_L,-0.22257103515071053,-0.016563806048795315
Embedding_28,Abelardo_L,-0.2672855890739544,-0.04105349019419097
Embedding_29,Abelardo_L,-0.19769841154220646,-0.07102421959199579
Embedding_30,Abelardo_L,-0.250973228040148,-0.09528427585424248
Embedding_31,Abelardo_L,-0.30888149112468416,-0.0029166093375802005
Embedding_32,Abelardo_L,-0.3043384007583695,0.02250166520529512
Embedding_33,Abelardo_L,-0.2721107727216411,0.008555612489560493
Embedding_34,Abelardo_L,-0.25855350764854396,-0.058567568955969485
Embedding_35,Abelardo_L,-0.18510206219292297,-0.09684692263115924
Embedding_36,Abelardo_L,-0.10886330589782765,-0.1278235828932044
Embedding_37,Abelardo_L,-0.08589111206019623,-0.28436677034241065
Embedding_38,Abelardo_L,-0.1610813485540663,-0.10154536967313332
Embedding_39,Abelardo_L,-0.14508827747224928,-0.08951693908476438
Embedding_40,Abelardo_L,-0.1183662516989799,-0.13465738744450356
Embedding_41,Abelardo_L,-0.1698914899916153,-0.3090116847891736
Embedding_42,Abelardo_L,-0.1698914899916153,-0.3090116847891736
Embedding_43,Abelardo_L,-0.21278254839412836,-0.3474037419831636
Embedding_44,Abelardo_L,-0.29568200936149774,-0.32634186043378877
Embedding_45,Abelardo_L,-0.27005556747909204,-0.3119484932396299
Embedding_46,Abelardo_L,-0.35304387375486207,-0.3212115758348518
Embedding_47,Abelardo_L,-0.17459260538690446,-0.32939757219366717
Embedding_48,Abelardo_L,-0.1577725136055228,-0.1826787971481177
Embedding_49,Abelardo_L,-0.3475426755779991,-0.2668416877077232
Embedding_50,Abelardo_L,-0.3386260600255249,-0.26845546053969793
Embedding_51,Abelardo_L,-0.3448360432584689,-0.2858414131452699
Embedding_52,Abelardo_L,-0.33587148446223825,-0.25205367779986076
Embedding_53,Abelardo_L,-0.36327403124588087,-0.25634863269374586
Embedding_54,Abelardo_L,-0.33193874862967215,-0.2547520424412354
Embedding_55,Abelardo_L,-0.3307527010937191,-0.2015635265686192
Embedding_56,Abelardo_L,-0.280822266549817,-0.21234055359061987
Embedding_57,Abelardo_L,-0.25270062997321363,-0.19982660302928956
Embedding_58,Abelardo_L,-0.26766851211473747,-0.20429110451245036
Embedding_59,Abelardo_L,-0.19219966663869448,-0.1866739840552512
